updateDate	line	rule	project	effort	type	cleanCodeAttribute	internalTags	issueStatus	flows	scope	key	severity	comments	author	fromSonarQubeUpdate	cleanCodeAttributeCategory	linkedTicketStatus	messageFormattings	impacts	message	creationDate	quickFixAvailable	tags	codeVariants	component	prioritizedRule	textRange	debt	hash	status
2026-06-17T16:41:58+0000	1.0	css:S4667	com.carajillolabs:sif-web	1min	CODE_SMELL	LOGICAL		OPEN		MAIN	3d3c7953-b205-4504-b0c2-6d457192e815	MAJOR			false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Empty source	2026-06-17T16:41:58+0000	false			com.carajillolabs:sif-web:src/app/app.scss	false	{startLine=1.0, endLine=1.0, startOffset=0.0, endOffset=0.0}	1min	-	OPEN
2026-06-17T16:41:58+0000	10.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	9f56c276-8cc6-4326-bf93-90e9ef5370ae	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/appointment-type.api.ts	false	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	10.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	3d7c5b31-8e12-4eec-8356-37e72fa7bf33	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/appointment.api.ts	false	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	11.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	fbd7f723-89e6-4a09-92dd-967196325478	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/body-measurement.api.ts	false	{startLine=11.0, endLine=11.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	10.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	8edb4393-b81e-4db6-822b-7ef583a3772a	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/me.api.ts	false	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	18.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	7158a825-0d28-4568-9f97-cd1f1671bc01	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/meal.api.ts	false	{startLine=18.0, endLine=18.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	36.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	dc17eded-ad65-409b-b84d-ba9b55abf367	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/menu-template.api.ts	false	{startLine=36.0, endLine=36.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	10.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	6256b060-8810-4971-adef-9080aef9c12d	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/menu-upload.api.ts	false	{startLine=10.0, endLine=10.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	17.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	3e232b6e-84bd-4cf7-8f43-f22773517652	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/menu.api.ts	false	{startLine=17.0, endLine=17.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
2026-06-17T16:41:58+0000	11.0	typescript:S2933	com.carajillolabs:sif-web	2min	CODE_SMELL	CLEAR		OPEN		MAIN	c8dec312-6839-4124-94d2-d5ea4a690ebb	MAJOR		ivan.duart@grupogimeno.com	false	INTENTIONAL	NOT_LINKED		"{softwareQuality=MAINTAINABILITY, severity=MEDIUM} / "	Member 'http' is never reassigned; mark it as `readonly`.	2026-06-16T19:54:29+0000	true	"type-dependent / confusing / "		com.carajillolabs:sif-web:src/app/core/api/services/tenant-branding.api.ts	false	{startLine=11.0, endLine=11.0, startOffset=2.0, endOffset=14.0}	2min	63cc803613421d5da8f3b6e2de87ff13	OPEN
